title,address,description,price,date,seller,image
5 bedroom flat for sale,"Pont Street, Knightsbridge, London, SW1X","A superb 5 bedroom penthouse with exceptional terraces for sale in SW1X A spectacular, newly created penthouse apartment with 5 bedrooms and an abundance of outside space, direct lift access and a porter. Approximately 436.54 sq m (4,699 sq ft) (Including Under 1.5m Areas). This predominantly l...","£19,450,000",03/07/2020,"Knight Frank, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65827/94357781/65827_SLA070513_IMG_01_0000_max_476x317.jpg
5 bedroom apartment for sale,"Pont Street, London, SW1X",A unique Grade II listed penthouse apartment laterally converted across three buildings with an abundance of outside space.,"£19,450,000",03/07/2020,"Savills, Sloane Street",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48943/81658648/48943_SLH180021_IMG_01_0000_max_476x317.jpg
6 bedroom semi-detached house for sale,"Lansdowne Road, London, W11","A rare opportunity to acquire a stunning family home on arguably one of Notting Hill's finest streets. This imposing semi-detached Victorian house is a truly exceptional home, offering an incredible wealth of attributes in a beautiful communal garden setting. The house offers magnificent recepti...",POA,27/06/2020,"Knight Frank, Notting Hill",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65821/94102124/65821_NGH160151_IMG_01_0001_max_476x317.jpg
6 bedroom semi-detached house for sale,"Lansdowne Road, London, W11","Lansdowne Road offers a truly exceptional semi-detached Victorian family home, benefiting from magnificent reception rooms; ideal for entertaining, high ceilings, and an abundance of light. Comprising of six ample bedrooms (four of which are ensuite), media room, wine cellar, and study. Furth...","£19,250,000",17/07/2020,"Beauchamp Estates Ltd, Mayfair - Resale",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/94976738/79099_1023224947_IMG_01_0000_max_476x317.jpg
7 bedroom terraced house for sale,"Wilton Crescent &  Kinnerton Street, Belgravia, London, SW1X",A Grade II listed terraced house with mews behind. Situated within one of London's most elegant crescents overlooking the central gardens.,"£19,000,000",07/02/2020,"Savills, Sloane Street",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48943/77313289/48943_SLH180054_IMG_01_0000_max_476x317.jpg
6 bedroom detached house for sale,Broomhouse Lane London SW6,"A unique and newly refurbished detached, family house with spectacular views overlooking Hurlingham Park. The property has undergone extensive renovation to create a large and contemporary low-built house finished to exceptionally high standards.
Arranged over three floors the house offers six b...","£19,000,000",18/02/2020,"JLL, Kensington High Street",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212372/76229374/212372_P65411_IMG_05_0000_max_476x317.jpg
7 bedroom terraced house for sale,"Wilton Crescent, Belgravia, London, SW1X","Substantial 7 bedroom family home for sale in Belgravia SW1 Situated within one of London's most elegant crescents is this beautifully restored Grade II listed period house, overlooking the central gardens. The property is offered together with the benefit of a mews house immediately behind in...","£19,000,000",08/02/2020,"Knight Frank, Belgravia, covering Westminster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94745/77328070/94745_BGV130140_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"Sloane Gardens, Belgravia, London, SW1W","Recently refurbished freehold house for sale in Belgravia SW1 A rare opportunity to purchase this recently restored and refurbished Sloane Gardens house on the sought after Cadogan Estate, moments from Sloane Square. Approximately 594 sq m (6,396 sq ft). EPC: D. The house boasts impressive ce...","£19,000,000",11/01/2020,"Knight Frank, Belgravia, covering Westminster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94745/76713388/94745_BGV180025_IMG_01_0000_max_476x317.jpg
3 bedroom flat for sale,"One Hyde Park, Knightsbridge, London, SW1X","A 3 bedroom apartment for sale in Knightsbridge SW1X An outstanding three bedroom, interior designed apartment located on the fifth floor of One Hyde Park, the first European Residences at Mandarin Oriental and one of the most exclusive addresses in the world. Approximately 3,083 sq ft (286.49 s...","£18,950,000",31/01/2020,"Knight Frank, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65827/88990169/65827_SLA190130_IMG_01_0000_max_476x317.jpg
2 bedroom apartment for sale,"Arc Court 1 Friern Barnet Road, Friern Barnet, London, N11","A bright and spacious two double bedroom purpose built apartment located within a popular landmark building in New Southgate . With the added benefits of secure gated parking, en-suite to master bedroom, private balcony with stunning views and beautifully maintained communal grounds.","£400,000",11/07/2020,"Glen Hall, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101969/71789943/101969_1415_IMG_01_0000_max_476x317.jpg
4 bedroom flat for sale,"Grosvenor Square, Mayfair, London, W1K","Masterfully designed by Finchatton, this superb lateral apartment has magnificent south facing views over Grosvenor Square. EPC: D This spectacular apartment is located on the third floor of a period building overlooking Grosvenor Square. Extending to 3,469 sq ft, the apartment benefits from ...","£18,950,000",29/03/2020,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/90944324/65815_WER012092399_IMG_01_0000_max_476x317.jpg
4 bedroom apartment for sale,"Grosvenor Square, London, W1K","Luxury four bedroom apartment in the heart of Grosvenor Square.
","£18,950,000",06/05/2020,"Wetherell, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/113k/112651/92736377/112651_218590S_IMG_01_0000_max_476x317.jpg
4 bedroom apartment for sale,"Grosvenor Square, London, W1K","A luxurious lateral, apartment which has been designed and refurbished by Finchatton, with views over Grosvenor Square.","£18,950,000",10/03/2020,"Savills, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49602/90310586/49602_MAS190059_IMG_01_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Montpelier Square, Knightsbridge, London, SW7","Occupying an elevated south facing position, this elegant Georgian house enjoys an abundance of natural light, with many of the principal rooms benefiting from an exceptional outlook across the tranquillity of a Georgian garden square mixed with the vitality and excitement of Montpelier Street.","£18,500,000",06/03/2020,"Hamptons International Sales, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/38k/37931/68883429/37931_KNI190059_IMG_01_0000_max_476x317.jpg
5 bedroom flat for sale,"Chesham Place, London",A superb lateral apartment on the fourth floor of this luxury boutique development in the very heart of Belgravia.,"£18,500,000",08/01/2020,"Strutt & Parker, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/45k/44264/88635479/44264_SLN190072_IMG_01_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Harley Street, Marylebone, London, W1G",Arguably one of Marylebone’s finest townhouses,"£18,500,000",25/09/2019,"Savills, Marylebone",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104930/65318295/104930_MBS190057_IMG_20_0000_max_476x317.jpg
5 bedroom penthouse for sale,"The Sloane Building, Hortensia Road, London, SW10",A spectacular five bedroom penthouse in this exciting conversion of a grade II listed Chelsea school building.,"£18,500,000",17/07/2019,"Savills New Homes, Margaret Street",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48985/73057018/48985_LAD161558_IMG_04_0000_max_476x317.jpg
4 bedroom penthouse for sale,"St. Edmunds Terrace, London, NW8","This elegant Penthouse is finished to the highest of standards and offers the very best in luxury living. Set within a brand new, architecturally designed gated development, with landscaped courtyard gardens, this property is enviously positioned on the park's edge benefiting from unrivaled views.",POA,02/03/2016,"Beauchamp Estates Ltd, Mayfair - Resale",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/40372875/79099_1001294497_IMG_01_0000_max_476x317.jpg
3 bedroom flat for sale,"One Kensington Gardens, Kensington Road, London W8",An exceptional three bedroom lateral apartment with views over Kensington Gardens within a development of 97 residences designed by award-winning architect David Chipperfield. Ready for occupation. ,"£18,000,000",15/04/2020,"Strutt & Parker, London - New Homes",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96919/78938236/96919_LNW200030_IMG_01_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Hanover Terrace, London, NW1","Built in 1822 occupying a prominent position within a grand Nash Terrace. Set over five ample floors, this impressive property benefits from a separate mews house offers panoramic views of Regent’s Park. Boasting five spacious bedrooms, the principal en suite bedroom located on the entirety o...","£17,950,000",yesterday,"Beauchamp Estates, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/184k/183887/95953784/183887_1023240701_IMG_01_0000_max_476x317.jpg
6 bedroom detached house for sale,"Ingram Avenue, Hampstead, London, NW11","New detached 6 bedroom house in Hampstead Garden Suburb, NW11 A stunning newly built detached home of approximately 14,358 sq ft situated on this lovely leafy street in Hampstead Garden Suburb. This majestic property backs onto Turners Wood Bird Sanctuary. The grand living accommodation includes...","£17,950,000",01/06/2020,"Knight Frank, Hampstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65806/57355537/65806_HAM110102_IMG_191_0005_max_476x317.jpg
6 bedroom detached house for sale,"Ingram Avenue, Hampstead, London, NW11","A stunning newly built luxury home of grand proportions totalling 14,358 sq ft. This must-see masterpiece is set on Ingram Avenue, a highly sought-after leafy road in Hampstead Garden Suburb which is defined by absolute privacy by backing directly onto Turners Wood Bird Sanctuary. The property is...","£17,950,000",01/06/2020,"'s International Realty, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62080/71566969/62080_NLD180001_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Elysian House, Ingram Avenue, NW11","Elysian House at 24 Ingram Avenue reflects luxury and sophistication to the letter. A house of majestic proportions located in this coveted leafy residential street in Hampstead Garden Suburb, which backs directly onto Turner’s Wood Bird Sanctuary. The grand living accommodation...","£17,950,000",16/03/2018,"Glentree Estates Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/191k/190037/63158595/190037_26486393_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Ingram Avenue, Hampstead Garden Suburb, London, NW11","A striking newly built, detached family home, offering c.14,358 sq ft of luxurious accommodation.","£17,950,000",01/06/2020,"Savills, Hampstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48928/85841750/48928_HAH170297_IMG_01_0000_max_476x317.jpg
5 bedroom house for sale,"Old Queen Street, London, SW1H","This magnificent five-bedroom Old Queen Street townhouse accommodates over an ample eight floors and provides 6,608 sq ft of luxurious living space with a private rear garden. Set within a Grade II listed Georgian residence in one of the finest architecturally significant streets in St. Jamess Pa...","£17,750,000",03/06/2020,"Beauchamp Estates Ltd, Mayfair - Resale",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/80431729/79099_1001514799_IMG_06_0000_max_476x317.png
6 bedroom terraced house for sale,"Old Queen Street, St. James's Park, London, SW1H","An exceptional Grade II listed period house, overlooking Birdcage Walk and the Royal Park. This magnificent five-bedroom Old Queen Street townhouse provides approximately 6,608 sq ft of luxurious living space with a private rear garden. Set within a Grade II listed Georgian residence in one of ...","£17,750,000",13/07/2020,"Knight Frank, Belgravia, covering Westminster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94745/82076665/94745_VIC180061_IMG_01_0000_max_476x317.jpg
7 bedroom terraced house for sale,"Lygon Place, Belgravia, London","A grand seven bedroom period townhouse with a lift, underground parking, 24 hour security and porterage in Belgravia.","£17,500,000",18/05/2018,"Strutt & Parker, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/45k/44264/93131444/44264_SLN180016_IMG_01_0000_max_476x317.jpg
